Lipid,Class,FAD265_m3_59_B,FAD199_m1_66_B,FAD199_m3_66_B,FAD201_m5_61_B,FAD265_m3_59_D,FAD199_m1_66_D,FAD199_m3_66_D,FAD201_m5_61_D,FAD265_m2_74_A,FAD261_m3_81_A,FAD309_55_A,FAD325_39_A,FAD265_m2_74_C,FAD261_m3_81_C,FAD309_55_C,FAD325_39_C,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR,CAR,1965.0801315307615,1892.3001403808596,3503.540237426758,1950.960147857666,3088.500217437744,2822.6001892089844,2178.24015045166,3656.060230255127,2958.800205230713,2004.8201484680176,2742.140182495117,3412.6202392578125,2317.0401496887207,2400.7401847839355,2699.1601753234863,1963.960132598877,1858.7201194763184,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(10:0),CAR,1936.740135192871,2107.4001502990723,4046.240280151367,1887.420124053955,3012.440216064453,2424.4601821899414,2052.880146026612,3898.3002700805664,3377.3402519226074,1994.2201499938965,3290.200222015381,3180.3402366638184,2155.460147857666,2574.920192718506,2616.26016998291,1954.3201446533203,2661.9001693725586,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1995.5001525878904,2382.660167694092,5342.220375061035,2593.6401863098145,3706.280246734619,3308.2402381896973,2574.680164337158,4765.580360412598,4588.060325622559,2130.540153503418,4821.200332641602,5206.300415039063,2701.720169067383,3252.3602333068848,3535.2002754211426,2258.740165710449,2898.900215148926,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(10:1),CAR,2039.460132598877,1795.6401252746582,4520.740329742432,2224.5801544189453,3514.520233154297,3281.2202186584477,2258.8601608276367,3818.060295104981,2971.320243835449,2141.70015335083,3747.080238342285,3518.9002113342285,3164.260223388672,2610.260185241699,2822.2201919555664,2092.4601554870605,2162.0001487731934,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,2242.8401641845703,2163.660140991211,4756.640293121338,2552.8401985168457,3681.680267333984,3253.720241546631,2809.1201934814453,5163.160358428955,4871.080333709717,2558.9201889038086,4702.100345611572,4794.360282897949,2605.080177307129,3015.320198059082,3776.580226898194,2012.940139770508,3336.540256500244,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(10:2),CAR,2166.240173339844,2063.080135345459,4298.760318756104,2374.6001625061035,2852.0602111816406,2853.400203704834,2036.140151977539,4015.080284118652,3249.240196228028,1970.1601333618164,3199.800235748291,3692.520278930664,2744.8202018737798,3157.7802200317383,3366.7802391052246,2237.3601570129395,2405.200164794922,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,16052.581130981443,20137.841400146484,52838.763427734375,18320.56121826172,28926.30178833008,22179.781616210938,20332.621459960938,44016.34289550781,35610.58242797852,15282.721103668213,36903.94230651856,41608.98281860352,21248.661712646484,31457.742042541504,29809.32218933105,16650.8212890625,23348.381622314453,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(10:3),CAR,1571.880100250244,1644.7601127624512,2980.940200805664,1681.1001167297363,1988.8801307678225,1989.1401290893557,1957.4401359558103,2752.040199279785,2688.6601753234863,1580.3200988769531,2408.0001831054688,2391.980178833008,1957.760124206543,1964.540138244629,2112.7401580810547,1693.3801155090332,1812.9601249694824,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,1689.360126495361,1827.400119781494,2859.7002143859863,2303.260166168213,3057.240226745605,2557.880172729492,1961.5601425170896,3620.000286102295,3856.700275421143,1927.240119934082,3365.160243988037,3818.12028503418,2353.0401725769043,2391.260162353516,3012.240203857422,2094.820156097412,3044.8602256774902,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(11:0),CAR,1737.6201248168943,1721.660125732422,3345.9402389526367,1904.8201293945312,2832.3802032470703,2124.580139160156,1939.0801239013672,2765.180160522461,2388.6601943969727,1861.7201385498047,2682.8601684570312,3123.2602157592773,2050.480155944824,2332.6201553344727,2343.040153503418,1740.9201202392578,2144.900146484375,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
