Lipid,Class,FAD265_m3_59_B,FAD199_m1_66_B,FAD199_m3_66_B,FAD201_m5_61_B,FAD265_m3_59_D,FAD199_m1_66_D,FAD199_m3_66_D,FAD201_m5_61_D,FAD265_m2_74_A,FAD261_m3_81_A,FAD309_55_A,FAD325_39_A,FAD265_m2_74_C,FAD261_m3_81_C,FAD309_55_C,FAD325_39_C,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(11:0)_QUAL,CAR,2173.440158843994,2587.1601905822754,6614.340450286865,2884.4202041625977,3571.9002723693848,3342.040237426758,3205.1001930236816,5227.060363769531,5043.440380096436,2360.020175933838,4665.480331420898,5279.680416107178,3036.16019821167,3891.220283508301,4235.900321960449,2681.2002029418945,3157.1801986694336,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(12:0),CAR,1523.6401023864746,1704.8201179504397,2588.4801750183105,1631.2201194763184,1869.120128631592,1710.3201026916504,1671.8601303100586,1974.160144805908,1970.420150756836,1540.7201118469238,2089.280166625977,2275.1001892089844,1700.9201126098633,1836.6601219177248,1900.3601303100584,1541.8200988769531,1750.320125579834,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,2070.540138244629,2419.520164489746,5281.520412445068,2465.06018447876,3616.0802421569824,3343.880226135254,2690.300170898437,4647.280326843262,4845.880352020264,2366.8601722717285,4238.80029296875,4580.680324554443,2605.3001823425293,3272.260234832764,4117.820274353027,2435.880176544189,2939.100200653076,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(14:0),CAR,1759.400119781494,1919.440139770508,3696.840263366699,2087.020156860352,2706.2602005004883,2128.9601669311523,2138.320171356201,2935.600204467773,2439.220169067383,1995.4201316833496,2513.64017868042,2524.480182647705,2159.3601570129395,2434.040180206299,2097.740146636963,1807.1601219177248,1947.860134124756,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,3477.440269470215,3519.80025100708,10114.3207321167,3808.960273742676,6038.120456695557,5522.320407867432,4207.580333709717,8759.020622253418,7529.900581359863,3393.4602432250977,7802.920669555664,8388.960525512695,4271.4603271484375,5561.8204345703125,6432.200496673584,3749.1402702331534,4949.740325927734,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(14:1),CAR,1627.3001136779783,1747.7201080322266,2828.0401763916016,1643.3601188659668,2514.2601737976074,2185.860145568848,2163.600154876709,2269.400154113769,2310.060157775879,1869.300136566162,2349.1601638793945,2575.6001777648926,1992.2001419067385,2015.840156555176,1978.9401473999023,1685.2001113891602,1837.2401237487795,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,3658.660285949707,4307.480308532715,9769.940673828123,4264.500339508057,5965.080406188965,4601.700336456299,4431.140281677246,8566.240615844727,7693.740501403809,3414.400257110596,7311.340591430664,7821.260566711426,4676.20036315918,6406.100456237793,5218.580364227295,3799.620250701904,5046.040378570557,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(14:2),CAR,2633.520160675049,2898.700225830078,5488.620346069336,2897.380199432373,3784.1402702331534,3130.2002449035645,2801.0202293396,5129.980354309082,4118.480285644531,2508.720184326172,4432.740314483643,4698.90030670166,3007.180202484131,3581.88028717041,3591.160259246826,2517.680164337158,3186.260227203369,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,34812.52243041992,43519.54254150391,119692.04852294922,40716.36285400391,62098.08441162109,52433.423583984375,44321.98294067383,103665.9877319336,77973.94537353516,35312.24249267578,84386.845703125,93783.54663085938,46761.14373779297,73661.20541381836,66833.90441894531,37791.56248474121,51347.30401611328,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(16:0),CAR,2135.620143890381,2239.9201583862305,4046.4402656555176,2095.140163421631,2691.920181274414,2460.660167694092,2631.700206756592,3576.720241546631,3241.8802223205566,2025.660140991211,2834.100185394287,3368.520221710205,2563.080177307129,2187.840156555176,2809.7201919555664,1976.6001586914065,2108.1201553344727,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,3026.980213165283,3327.2602195739746,8535.260581970215,3171.800224304199,5058.500354766846,4344.620315551758,3650.740257263184,7294.520469665527,6461.580436706543,3533.4002227783203,6075.060436248779,7199.6605224609375,3653.500286102295,5043.38032913208,5588.260398864746,3056.280200958252,3809.700271606445,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(16:1),CAR,1710.3201217651367,1479.4401092529297,2624.6001739501958,1657.8801193237305,2093.040153503418,1958.7801361083984,2011.7601585388184,2366.3801612854004,2051.640125274658,1758.9401168823242,2344.460178375244,2376.400161743164,1825.10013961792,1846.4201278686523,2018.3201293945312,1643.3201065063477,1816.640121459961,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,3758.300247192383,4605.660316467285,10939.300674438477,4718.060314178467,6586.320465087891,5912.940441131592,4842.860385894775,10138.320751190186,12480.160873413086,3924.6802711486816,8538.260593414307,9331.640617370604,4922.880321502686,6791.900466918945,7663.000518798828,4169.200275421143,7357.380523681641,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(16:2),CAR,1699.5401191711426,1819.7201347351076,2897.2002334594727,1950.1001358032229,2836.2602195739746,2089.5401573181152,2191.2001724243164,3101.1802253723145,2516.740177154541,1942.9801406860352,2580.380184173584,3111.400215148926,2417.2801780700684,2302.420162200928,2401.940174102783,2209.6401405334477,1863.6401290893557,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,2327.3801612854004,2152.320137023926,4311.780292510986,2191.560161590576,2915.220226287842,2888.5002212524414,2414.200164794922,4120.200290679932,4361.220310211182,2251.880157470703,3785.120265960693,3741.320236206055,2508.020179748535,2970.2802200317383,3171.380229949951,2275.5001640319824,2864.0202140808105,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(17:0),CAR,1900.6801376342771,2211.800136566162,5041.740333557129,2091.5401496887207,3148.700252532959,3096.440200805664,2518.240188598633,4507.420330047607,3510.6202697753906,2054.1601524353027,3703.080238342285,4191.720287322998,2523.520175933838,2961.120189666748,3462.9202728271484,1967.2201461791992,2831.5202255249023,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,4023.920299530029,5006.720355987549,12172.280899047852,4380.1403465271,7304.7404861450195,6794.740501403809,5169.180362701416,11420.220840454102,9461.260692596436,4312.360294342041,10135.780708312988,11151.20086669922,6058.960468292236,7105.18049621582,7765.620529174805,4614.340293884277,5544.080337524414,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:0),CAR,1901.6601295471191,1974.0601539611816,3877.7003059387207,2083.8801345825195,2919.960216522217,2665.7601928710938,1911.820140838623,3432.740261077881,2822.620204925537,2092.06014251709,3448.080238342285,3207.3602333068848,2478.060157775879,2424.9401893615723,2630.34020614624,1845.3801193237305,2296.820167541504,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,2938.7602005004883,3182.520248413086,7539.720504760742,3056.0202140808105,4675.560329437256,4244.460273742676,3896.9802856445312,6956.720470428467,6312.540435791016,3243.7602462768555,6302.480411529541,6718.620468139648,4095.20027923584,5000.06033706665,5264.400352478027,3658.500259399414,4162.380275726318,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:1),CAR,1824.4601364135744,2167.3801612854004,4332.66024017334,2177.440139770508,2652.660186767578,2868.020217895508,2130.1201515197754,3592.2802734375,2594.3601722717285,1832.5201263427732,3294.260208129883,3853.88028717041,3289.9602394104004,2235.800178527832,2645.600170135498,1952.300136566162,1948.2201347351076,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,3110.1602058410645,3373.5802421569824,6997.940490722656,3168.200206756592,4786.6403884887695,3788.6002769470215,3456.6802673339844,6222.280448913574,5372.22034072876,3129.720199584961,5542.600368499756,5220.380367279053,3354.0202026367188,4656.000335693359,4377.5602951049805,3093.9402084350586,3794.940254211426,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:2),CAR,2333.240173339844,2494.560165405273,5110.140357971191,2505.500171661377,3476.12020111084,3379.780227661133,3379.2602577209477,4826.000358581543,3928.340286254883,2233.7001609802246,3654.6202812194815,4550.52029800415,2973.7402420043945,2938.0801963806152,3294.7802200317383,2883.620185852051,2877.360176086426,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,2395.6601524353027,2558.580177307129,5432.980377197266,3106.0602226257324,3809.380279541016,3561.540252685547,2936.640182495117,4953.560348510742,4073.180274963379,2589.880184173584,4693.660339355469,4502.820289611816,3007.020206451416,3553.1202812194824,3509.260265350342,2709.1002082824707,3380.560234069824,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:3),CAR,1917.620140075684,1744.0401191711426,4563.240310668945,2095.74015045166,2605.680160522461,2598.8201866149902,2351.260154724121,3749.3202590942383,3335.0202445983887,1947.360134124756,3208.800201416016,3722.3802757263184,2469.2201919555664,2412.3001823425293,3174.560237884521,2042.480136871338,2588.780204772949,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,2940.460216522217,2975.000217437744,7319.640487670898,3533.420234680176,4998.500354766846,4596.940288543701,3532.7002296447754,7055.160491943359,6024.380416870117,3035.280227661133,5681.100414276123,6968.86051940918,4002.460273742676,4866.660331726074,4718.940319061279,3454.380302429199,4367.680294036865,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:4),CAR,2262.560161590576,2302.140151977539,6399.180480957031,2556.240177154541,4081.560291290283,3352.960231781006,3042.740219116211,5655.640380859375,4749.260341644287,2626.680191040039,5369.120391845703,4952.120330810547,2864.600200653076,3442.040237426758,4117.420330047607,2228.340137481689,3211.8402519226074,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,2949.2202339172363,3476.840229034424,8058.820587158203,3629.220279693604,4890.380336761475,4398.160350799561,4087.84024810791,7925.360488891602,5252.480438232422,3150.5402297973637,6342.140502929688,6530.64045715332,3643.3202590942383,4736.480377197266,5295.820358276367,3345.840274810791,3885.4603004455566,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(20:0),CAR,1699.460117340088,1670.3201293945312,2852.540180206299,1814.9201278686523,2009.000144958496,2482.900188446045,2081.120147705078,2778.9801864624023,2231.3801651000977,1534.5401000976562,2205.5401725769043,2740.240177154541,2085.420154571533,1993.04012298584,2003.360137939453,1813.7601318359373,1862.6201362609863,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,4145.640289306641,5211.460346221924,11305.560707092283,5119.860382080078,7405.740455627441,5956.480419158936,4985.000343322754,10488.56069946289,8061.100540161133,4146.400295257568,9378.640712738035,10130.760688781738,5644.440410614014,6964.700523376465,7342.220581054687,4800.000358581543,5530.580421447754,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(20:1),CAR,2103.1801376342773,2178.240173339844,4407.560325622559,2078.3401412963867,3472.2002334594727,3327.3402366638184,3256.180221557617,4166.900352478027,3467.500244140625,2478.1601905822754,3366.260227203369,4251.600330352783,3019.620204925537,2831.3202018737798,2995.9602088928223,2519.9801902771,2492.540184020996,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2593.1801986694336,2496.000175476074,4498.040328979492,2275.480167388916,3354.5002517700195,2960.9002075195312,2481.2601737976074,4220.94030380249,3533.440269470215,2001.5001373291016,3680.740261077881,3639.460250854492,2687.8801918029785,2829.9001960754395,3402.100212097168,2451.660167694092,2906.4402351379395,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(20:2),CAR,3229.1002311706543,3962.4002532958975,8985.540756225586,3650.520278930664,5423.540374755859,4833.080337524414,5251.900352478027,8560.0806350708,6740.860412597656,3080.060214996338,6784.920478820801,8216.84061050415,4239.500324249268,5175.220386505127,6347.620429992676,3159.7002487182617,4415.460342407227,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,2332.380176544189,2643.060195922852,5492.400394439697,2949.240196228028,3900.5002975463863,3338.100238800049,3132.5802268981934,5219.000392913818,4866.240367889404,2709.1401863098145,4215.140327453613,4970.000339508057,3378.500244140625,3582.4402503967285,3512.400257110596,2606.6201553344727,3671.500289916992,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(20:4),CAR,1785.9201354980469,1675.9601211547852,3591.8002319335938,1696.6401138305664,2063.7801475524902,2202.8601570129395,2005.0601348876955,2594.800178527832,2286.22017288208,1615.6801223754885,2420.7601737976074,2714.680187225342,1938.2201461791992,2110.440174102783,2319.2801513671875,1628.4801025390625,1948.0401306152344,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,2396.0401611328125,2702.0401725769043,5869.600395202637,2854.920207977295,3791.340259552002,3186.660217285156,3013.060199737549,4761.540370941162,3698.000247955322,2436.060165405273,4033.840305328369,4831.140350341797,2831.240222930908,3257.2802391052246,3795.920303344727,2687.8201904296875,3134.6801948547363,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:0),CAR,2500.5601806640625,2941.080192565918,6443.440490722656,2769.3201866149902,3316.820240020752,4130.300258636475,3083.040241241455,5922.580463409424,3709.900276184082,2181.7401580810547,4610.280277252197,6012.120449066162,4473.920364379883,3278.100246429444,3739.420265197754,3085.1202354431152,2918.240219116211,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,3290.420215606689,3342.000244140625,6976.720527648926,3630.0402488708496,4554.400310516357,3855.620273590088,4052.9402770996094,6631.820449829102,5330.600364685059,2950.480197906494,5514.040355682373,6091.820404052734,3795.060276031494,4733.460334777832,5015.04035949707,3095.6802368164062,4026.280288696289,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:2),CAR,2745.360221862793,3181.540225982666,6901.740501403809,2902.4802055358887,4569.820362091064,3841.960266113281,3419.6002655029297,5991.520408630371,4953.640365600586,2996.520198822021,5397.640365600586,6028.260410308838,3297.1802253723145,3865.740238189697,4408.940299987793,3207.0402297973637,3558.900230407715,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,5760.380393981934,6452.280422210693,14456.920997619629,6543.000465393066,9233.020652770996,7396.840518951416,6150.840396881104,13037.78086090088,10666.92068862915,5679.040386199951,11903.380798339844,11808.520854949951,6573.86051940918,9504.9206199646,9338.360694885254,5325.540420532227,7421.480499267578,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:4),CAR,1701.440128326416,1439.0801010131836,2509.7001724243164,1831.4401206970213,2079.640151977539,1954.2401428222656,1808.060111999512,2495.920181274414,2035.860145568848,1683.1401176452637,2614.1602058410645,2189.5001525878906,1826.6001358032229,1898.7001495361328,2003.0401458740237,1763.7801246643066,2133.460159301758,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:4)_QUAL,CAR,2712.820171356201,3479.340263366699,7459.080474853516,3166.1202239990234,4519.320350646973,4037.480293273926,3686.6202545166016,6919.300498962402,5639.240406036377,2693.220199584961,6357.740463256836,7987.440643310547,3571.92028427124,4469.58028793335,4660.840320587158,3164.720199584961,3600.360237121582,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:5),CAR,1411.120101928711,1565.7001152038574,2324.780170440674,1610.1801109313965,1940.5401420593264,1681.480110168457,1558.8001174926758,1814.180126190185,1762.7801322937012,1505.4801177978516,1856.220142364502,1809.4201316833496,1611.4401054382324,1559.260108947754,2016.7001457214355,1564.900104522705,1690.4001083374023,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:5)_QUAL,CAR,9576.380729675291,9430.02066040039,27858.88198852539,13053.62084197998,16905.98137664795,13547.660926818848,12880.180870056152,41218.98219299317,18387.401306152344,8957.640678405762,24103.241622924805,57278.40451049805,11484.380912780762,16850.921142578125,13985.820991516111,9217.620666503906,9577.78066253662,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:6),CAR,1839.620140075684,1692.3401260375977,2589.10018157959,1737.3001174926758,2098.340160369873,1934.460147857666,1920.7201347351076,2398.260181427002,2181.1401596069336,1664.0801162719729,2574.440196990967,2330.160179138184,1897.1601257324216,2014.120147705078,2371.4601440429688,1750.2601203918457,1972.0601425170896,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(22:6)_QUAL,CAR,4068.300312042236,4465.040328979492,9301.54062652588,4375.900299072266,5663.9204177856445,4962.240352630615,4476.780300140381,8662.220649719238,7522.200508117676,3646.1802711486816,7505.240566253662,9879.760772705078,4975.200355529785,6174.540409088135,6606.960487365723,4618.380310058594,5134.700370788574,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(26:0),CAR,4854.980327606201,4600.960342407227,13374.541046142578,4862.420349121094,8289.34056854248,6495.880439758301,6702.880439758301,11537.8408203125,9228.180675506592,4606.220306396484,9529.180763244629,11639.56088256836,6857.08056640625,7432.720516204834,8194.260593414307,4642.980346679688,6618.92045211792,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(26:0)_QUAL,CAR,3392.0602493286133,3768.360301971436,9092.1806640625,3892.9002532958975,5705.500396728516,5185.320365905762,4383.180320739746,8163.720573425293,6967.940505981445,3846.940269470215,7288.48051071167,7775.180526733398,4592.200336456299,6412.360412597656,6356.700393676758,4227.060264587402,4622.8603515625,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(2:0),CAR,1477.1001091003418,1523.0001220703125,2297.340167999268,1673.1401329040527,1594.9401168823242,1907.780128479004,1597.900131225586,2430.3001861572266,1838.980136871338,1606.260108947754,1899.2001419067385,1821.9001083374023,1542.140106201172,1816.9001388549805,1756.0201263427734,1530.4001007080078,1491.7801094055176,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(2:0)_QUAL,CAR,1579.6601181030271,1510.760108947754,1837.320125579834,1503.06010055542,1637.280117034912,1803.6801223754885,1526.7001190185547,2010.360149383545,1825.6401329040527,1475.4000854492188,1874.1401329040527,1907.600128173828,1586.5601043701172,1570.860107421875,1893.880142211914,1659.7801094055176,1694.5601119995115,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(3:0),CAR,1405.080093383789,1493.4801139831543,1874.440128326416,1544.3201141357422,1596.5401000976562,1562.1401023864746,1507.1201133728027,1728.7001304626465,1820.4401206970213,1433.320087432861,1612.5201148986816,1873.0601272583008,1583.5601272583008,1538.740104675293,1622.0401153564453,1393.3600997924805,1683.2801246643066,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(3:0)_QUAL,CAR,2229.3601608276367,1891.5401420593264,3083.480224609375,3399.0202445983887,5018.100368499756,4373.480304718018,3759.900302886963,7266.360450744629,5794.980369567871,3551.7802696228027,5872.300426483154,6597.760459899902,2895.380214691162,3099.6802406311035,5205.12036895752,2512.1402015686035,4814.180316925049,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(3:1),CAR,1638.0601043701172,1808.7801246643064,2619.600212097168,2030.4801330566409,2078.360134124756,2134.9601440429688,1833.180118560791,2433.2401695251465,2590.4801712036133,1933.3401527404783,3047.2001914978027,2717.740196228028,1906.980136871338,2265.1401557922363,2255.400161743164,1839.6201210021973,2157.980155944824,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(3:1)_QUAL,CAR,2675.0001907348637,3284.520198822021,5055.740371704102,4309.560314178467,6272.640453338623,5497.800426483154,4413.740295410156,9103.760654449465,8208.240566253662,4172.320262908936,8401.300548553467,8305.460563659668,4963.380386352539,4568.540294647217,6775.320449829102,3110.3002128601074,6171.960414886475,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(4:0),CAR,1424.2401084899902,1452.9601135253906,1829.8801307678225,1680.1001205444336,1880.2801475524905,1601.7401123046875,1570.3001098632812,2007.9001388549805,2165.460159301758,1515.4601097106934,2052.4601554870605,2048.2201499938965,1720.980110168457,1700.4201278686523,1653.2401161193848,1478.1600914001465,1752.10013961792,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
CAR(4:0)_QUAL,CAR,1850.4001350402832,2060.4401321411133,3349.2602500915527,2122.980140686035,2643.140190124512,2381.820152282715,2095.480167388916,3700.760272979736,3195.9802169799805,2106.9601554870605,3418.420207977295,3379.320209503174,2361.0401649475098,2847.000186920166,2960.440216064453,1959.880126953125,2275.4201698303223,Group: 5XFAD,Group: WT,Group: 5XFAD vs Group: WT,8,8,Blank_Blank_Blank
